      2500.00      2501.00      2502.00      2503.00      2504.00      2505.00
      2506.00      2507.00      2508.00      2509.00      2510.00      2511.00
      2512.00      2513.00      2514.00      2515.00      2516.00      2517.00
      2518.00      2519.00      2520.00      2521.00      2522.00      2523.00
      2524.00      2525.00      2526.00      2527.00      2528.00      2529.00
      2530.00      2531.00      2532.00      2533.00      2534.00      2535.00
      2536.00      2537.00      2538.00      2539.00      2540.00      2541.00
      2542.00      2543.00      2544.00      2545.00      2546.00      2547.00
      2548.00      2549.00      2550.00      2551.00      2552.00      2553.00
      2554.00      2555.00      2556.00      2557.00      2558.00      2559.00
      2560.00      2561.00      2562.00      2563.00      2564.00      2565.00
      2566.00      2567.00      2568.00      2569.00      2570.00      2571.00
      2572.00      2573.00      2574.00      2575.00      2576.00      2577.00
      2578.00      2579.00      2580.00      2581.00      2582.00      2583.00
      2584.00      2585.00      2586.00      2587.00      2588.00      2589.00
      2590.00      2591.00      2592.00      2593.00      2594.00      2595.00
      2596.00      2597.00      2598.00      2599.00      2600.00      2601.00
      2602.00      2603.00      2604.00      2605.00      2606.00      2607.00
      2608.00      2609.00      2610.00      2611.00      2612.00      2613.00
      2614.00      2615.00      2616.00      2617.00      2618.00      2619.00
      2620.00      2621.00      2622.00      2623.00      2624.00      2625.00
      2626.00      2627.00      2628.00      2629.00      2630.00      2631.00
      2632.00      2633.00      2634.00      2635.00      2636.00      2637.00
      2638.00      2639.00      2640.00      2641.00      2642.00      2643.00
      2644.00      2645.00      2646.00      2647.00      2648.00      2649.00
      2650.00      2651.00      2652.00      2653.00      2654.00      2655.00
      2656.00      2657.00      2658.00      2659.00      2660.00      2661.00
      2662.00      2663.00      2664.00      2665.00      2666.00      2667.00
      2668.00      2669.00      2670.00      2671.00      2672.00      2673.00
      2674.00      2675.00      2676.00      2677.00      2678.00      2679.00
      2680.00      2681.00      2682.00      2683.00      2684.00      2685.00
      2686.00      2687.00      2688.00      2689.00      2690.00      2691.00
      2692.00      2693.00      2694.00      2695.00      2696.00      2697.00
      2698.00      2699.00      2700.00      2701.00      2702.00      2703.00
      2704.00      2705.00      2706.00      2707.00      2708.00      2709.00
      2710.00      2711.00      2712.00      2713.00      2714.00      2715.00
      2716.00      2717.00      2718.00      2719.00      2720.00      2721.00
      2722.00      2723.00      2724.00      2725.00      2726.00      2727.00
      2728.00      2729.00      2730.00      2731.00      2732.00      2733.00
      2734.00      2735.00      2736.00      2737.00      2738.00      2739.00
      2740.00      2741.00      2742.00      2743.00      2744.00      2745.00
      2746.00      2747.00      2748.00      2749.00      2750.00      2751.00
      2752.00      2753.00      2754.00      2755.00      2756.00      2757.00
      2758.00      2759.00      2760.00      2761.00      2762.00      2763.00
      2764.00      2765.00      2766.00      2767.00      2768.00      2769.00
      2770.00      2771.00      2772.00      2773.00      2774.00      2775.00
      2776.00      2777.00      2778.00      2779.00      2780.00      2781.00
      2782.00      2783.00      2784.00      2785.00      2786.00      2787.00
      2788.00      2789.00      2790.00      2791.00      2792.00      2793.00
      2794.00      2795.00      2796.00      2797.00      2798.00      2799.00
      2800.00      2801.00      2802.00      2803.00      2804.00      2805.00
      2806.00      2807.00      2808.00      2809.00      2810.00      2811.00
      2812.00      2813.00      2814.00      2815.00      2816.00      2817.00
      2818.00      2819.00      2820.00      2821.00      2822.00      2823.00
      2824.00      2825.00      2826.00      2827.00      2828.00      2829.00
      2830.00      2831.00      2832.00      2833.00      2834.00      2835.00
      2836.00      2837.00      2838.00      2839.00      2840.00      2841.00
      2842.00      2843.00      2844.00      2845.00      2846.00      2847.00
      2848.00      2849.00      2850.00      2851.00      2852.00      2853.00
      2854.00      2855.00      2856.00      2857.00      2858.00      2859.00
      2860.00      2861.00      2862.00      2863.00      2864.00      2865.00
      2866.00      2867.00      2868.00      2869.00      2870.00      2871.00
      2872.00      2873.00      2874.00      2875.00      2876.00      2877.00
      2878.00      2879.00      2880.00      2881.00      2882.00      2883.00
      2884.00      2885.00      2886.00      2887.00      2888.00      2889.00
      2890.00      2891.00      2892.00      2893.00      2894.00      2895.00
